t1	t2	winner
T1	G2	2
EG	RNG	2
PSG	SGB	1
G2	RNG	1
SGB	EG	2
PSG	T1	2
G2	EG	1
RNG	PSG	1
T1	SGB	1
PSG	EG	2
RNG	T1	1
SGB	G2	2
EG	T1	2
G2	PSG	2
RNG	SGB	1
T1	PSG	1
RNG	G2	1
EG	SGB	1
PSG	G2	
T1	EG	
SGB	RNG	
G2	T1	
SGB	PSG	
RNG	EG
G2	SGB
EG	PSG	
SGB	T1
PSG	RNG
EG	G2	
T1	RNG
